locus_tag,gene_name,synonyms,gene_product,COG,regulator,uniprot,start,end,strand,essential,core_genome,iML1515,oxidizeME,DGF_strain,MS57,pseudogene,y_ome,k_eff,schmidt_prot_med,heckmann_prot_med,proteomics,p1k,p1k_ctrl_log_tpm,p1k_median_log_tpm,p1k_mad_log_tpm,in_iM
b0001,thrL,thrL,thr operon leader peptide,No COG annotation,,P0AD86,190,255,+,False,False,False,False,True,True,False,False,False,,,False,False,10.372833103148237,8.862343332133676,1.9369518045528096,False
b0002,thrA,thrA;thrA1;thrA2,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,Fnr,ArcA,ppGpp",P00561,337,2799,+,False,False,True,True,True,True,False,False,True,4101.5,4434.0,True,True,10.31456227,9.60532895,1.0421427130379994,True
b0003,thrB,thrB,homoserine kinase,Nucleotide transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp",P00547,2801,3733,+,False,False,True,True,True,True,False,False,True,442.0,1177.0,True,True,9.9822505955,9.232802827,1.035653779070399,True
b0004,thrC,thrC,threonine synthase,Amino acid transport and metabolism,"RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA",P00934,3734,5020,+,False,False,True,True,True,True,False,False,True,8818.5,3516.0,True,True,9.973666136,9.274270585,0.9062870727456012,True
b0005,yaaX,yaaX,DUF2502 domain-containing protein YaaX,Function unknown,Lrp,P75616,5234,5530,+,False,False,False,False,True,True,False,True,False,,,False,True,7.1324817945,6.283660806,1.0931461738217991,True
b0006,yaaA,yaaA,peroxide stress resistance protein YaaA,Function unknown,,P0A8I3,5683,6459,-,False,False,False,False,True,True,False,True,True,539.5,333.0,True,True,6.4949411375,6.346626025,0.4545190303836,True
b0007,yaaJ,yaaJ,putative transporter YaaJ,Amino acid transport and metabolism,,P30143,6529,7959,-,False,False,True,True,True,True,False,True,False,,,False,True,2.9885548745,3.382637068201853,0.7180482074713328,True
b0008,talB,talB;yaaK,transaldolase B,Carbohydrate transport and metabolism,,P0A870,8238,9191,+,False,False,True,True,True,True,False,False,True,9899.0,7449.0,True,True,10.68361468,10.40185081,0.4932803086260012,False
b0009,mog,mog;chlG;mogA;yaaG,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,,P0AF03,9306,9893,+,False,False,True,True,True,True,False,False,True,24.0,222.0,True,True,5.9642162795,6.016844178,0.5004432877148373,True
b0010,satP,satP;yaaH,acetate/succinate:H(+) symporter,Function unknown,ppGpp,P0AC98,9928,10494,-,False,False,True,False,True,True,False,False,False,,,False,True,4.7168462575,4.49441852,0.6492068643606004,False
b0011,yaaW,yaaW,putative enzyme-specific chaperone YaaW,Function unknown,,P75617,10643,11356,-,False,False,False,False,True,True,False,True,False,,,False,True,1.903270928,2.109164007,0.5343640234295999,False
b0012,mbiA,,uncharacterized protein MbiA,No COG annotation,RpoH,UPI000016F239,10830,11315,+,False,False,False,False,False,False,False,True,False,,,False,True,0.299486482,0.594026547,0.5102842895388,True
b0013,yaaI,yaaI,DUF2541 domain-containing protein YaaI,Function unknown,,P28696,11382,11786,-,False,False,False,False,True,True,False,True,False,,,False,True,1.190337193,1.317029395,0.5778183948768,True
b0014,dnaK,dnaK;groP;grpF;seg,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones","YbiH,RpoH,gcvB",P0A6Y8,12163,14079,+,False,True,False,True,True,True,False,False,True,18277.0,7277.0,True,True,9.5705792205,9.788785059,0.7524305394395999,True
b0015,dnaJ,dnaJ;groP,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones","RpoH,ppGpp",P08622,14168,15298,+,False,True,False,True,True,True,False,False,True,657.5,1141.0,True,True,7.577533457499999,7.786829787,0.6883627084235991,True
b0016,insL-1,insL1,IS186/IS421 transposase,"Replication, recombination and repair",ppGpp,P0CF91,15445,16557,+,False,False,False,False,False,False,False,False,False,,,False,True,5.8941026905000005,5.661573367999999,0.505780227833999,True
b4412,hokC,hokC;gef,protein HokC,Function unknown,,P0ACG4,16751,16903,-,False,False,False,False,False,False,False,False,False,,,False,False,0.0,0.0,0.0,False
b0018,mokC,mokC;gefL,regulatory protein MokC,Function unknown,sokC,P33236,16751,16960,-,False,False,False,False,True,False,False,True,False,,,False,True,3.4992482705,3.724600236,0.9236288195904,False
b0019,nhaA,nhaA;ant,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,"RpoD,YdcI,RpoS,H-NS,ppGpp,NhaR",P13738,17489,18655,+,False,False,True,True,True,False,False,False,False,,,False,True,5.6964065955,5.930505067,0.655398405076799,False
b0020,nhaR,nhaR;antO,DNA-binding transcriptional activator NhaR,Transcription,"RpoD,RpoS,H-NS,NhaR,CsrA,YdeO",P0A9G2,18715,19620,+,False,False,False,False,True,False,False,False,False,,,False,True,5.8164771085,5.417989522,0.5379172907891996,False
b0021,insB-1,insB1,IS1 protein InsB,"Replication, recombination and repair",,A0A385XJL4,19811,20314,-,False,False,False,False,False,False,False,False,False,,,False,True,1.6051210285000002,2.4384750790000003,0.8442064446395998,True
b0022,insA-1,insA1,IS1 protein InsA,"Replication, recombination and repair",ppGpp,A0A385XJ53,20233,20508,-,False,False,False,False,False,False,False,False,False,,,False,True,4.340658829500001,3.981927598,0.9089769361343996,True
b0023,rpsT,rpsT,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis","ppGpp,DksA",P0A7U7,20815,21078,-,False,True,False,True,True,True,False,False,True,18653.0,1597.0,True,True,12.094109915,11.62066972,0.9008793544799992,True
